Jugador,Equipo,DiferenciaDif.,% Dif,Acel.,Tend.,Próx. rivalRival,Valor,Valor ant.Ant.,Posición
Sancris,Getafe,-21.795 | -44.299 | -68.501 | -166.247 | -385.695 | -821.106,"-2,42% | -4,80% | -7,23% | -15,91% | -30,50% | -48,30%",,25ddías,20%,878.894,900.689 | 923.193 | 947.395 | 1.045.141 | 1.264.589 | 1.700.000,Delantero
Riedel,Espanyol,0 | 0 | 0 | 0 | 0 | +20.618,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,22ddías,🏠 90%,5.520.618,5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.520.618 | 5.500.000,Defensa
Montero,Alavés,0 | 0 | 0 | 0 | 0 | +2.316,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,22ddías,🏠,602.316,602.316 | 602.316 | 602.316 | 602.316 | 602.316 | 600.000,Portero
Oluwaseyi,Villarreal,-85.751 | -176.561 | -267.802 | -659.461 | -1.493.279 | -2.699.956,"-2,21% | -4,44% | -6,58% | -14,79% | -28,21% | -41,54%",,25ddías,30%,3.800.044,3.885.795 | 3.976.605 | 4.067.846 | 4.459.505 | 5.293.323 | 6.500.000,Delantero
Arriaga,Levante,-80.685 | -166.369 | -258.261 | -613.886 | -1.407.911 | -2.484.747,"-2,24% | -4,52% | -6,84% | -14,87% | -28,60% | -41,41%",,25ddías,30%,3.515.253,3.595.938 | 3.681.622 | 3.773.514 | 4.129.139 | 4.923.164 | 6.000.000,Mediocampista
Laporte,Athletic,+1.714.626 | +3.604.777 | +4.964.621 | +13.525.425 | +25.580.603 | +45.550.358,"+3,47% | +7,60% | +10,77% | +36,03% | +100,39% | 0%",,16ddías,🏠 30%,51.061.686,49.347.060 | 47.456.909 | 46.097.065 | 37.536.261 | 25.481.083 | 0,Defensa
Mastantuono,Real Madrid,0 | 0 | 0 | 0 | 0 | +37.262,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,22ddías,20%,10.037.262,10.037.262 | 10.037.262 | 10.037.262 | 10.037.262 | 10.037.262 | 10.000.000,Delantero
Rueda,Celta,-45.811 | -69.491 | -117.653 | -295.675 | -728.450 | -1.234.621,"-1,20% | -1,81% | -3,03% | -7,28% | -16,21% | -24,69%",,23ddías,🏠 50%,3.765.379,3.811.190 | 3.834.870 | 3.883.032 | 4.061.054 | 4.493.829 | 5.000.000,Defensa
Niculaesei,Elche,0 | 0 | 0 | 0 | 0 | +3.099,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,22ddías,,803.099,803.099 | 803.099 | 803.099 | 803.099 | 803.099 | 800.000,Defensa
Mendoza,Atlético,-14.927 | -31.487 | -53.267 | -121.982 | -283.587 | -519.076,"-1,50% | -3,11% | -5,15% | -11,06% | -22,43% | -34,61%",,25ddías,🏠 20%,980.924,995.851 | 1.012.411 | 1.034.191 | 1.102.906 | 1.264.511 | 1.500.000,Mediocampista
Echegoyen,Osasuna,0 | 0 | 0 | 0 | 0 | -37.714,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | -6,29%",,22ddías,,562.286,562.286 | 562.286 | 562.286 | 562.286 | 562.286 | 600.000,Mediocampista
Josan,Elche,0 | 0 | 0 | 0 | 0 | +4.650,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,22ddías,,1.204.650,1.204.650 | 1.204.650 | 1.204.650 | 1.204.650 | 1.204.650 | 1.200.000,Mediocampista
Davinchi,Getafe,0 | 0 | 0 | 0 | 0 | +11.603,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,39%",,22ddías,80%,3.011.603,3.011.603 | 3.011.603 | 3.011.603 | 3.011.603 | 3.011.603 | 3.000.000,Defensa
Thiago,Real Madrid,0 | 0 | 0 | 0 | 0 | +26.082,"0,00% | 0,00% | 0,00% | 0,00% | 0,00% | +0,37%",,22ddías,0%,7.026.082,7.026.082 | 7.026.082 | 7.026.082 | 7.026.082 | 7.026.082 | 7.000.000,Mediocampista
Suazo,Sevilla,-101.390 | -190.855 | -290.425 | -608.235 | -1.570.319 | -2.811.873,"-1,61% | -2,99% | -4,48% | -8,95% | -20,24% | -31,24%",,25ddías,🏠 60%,6.188.127,6.289.517 | 6.378.982 | 6.478.552 | 6.796.362 | 7.758.446 | 9.000.000,Defensa
Veiga,Villarreal,+678.357 | +1.384.230 | +1.827.338 | +4.745.218 | +10.344.833 | +15.837.734,"+1,69% | +3,51% | +4,68% | +13,15% | +33,93% | +63,35%",,24ddías,70%,40.837.734,40.159.377 | 39.453.504 | 39.010.396 | 36.092.516 | 30.492.901 | 25.000.000,Defensa
